headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id,abstract
Ideas & Trends; Hemming in the World Wide Web,Technology; Week in Review,[u'FRANCE'],951,"IF the Internet is anything, at least according to its prophets, it is a place without boundaries. Real world geography, with tiresome passports and tedious border checkpoints, does not matter.     This is not an appealing notion to many of the...",The New York Times,"[u'MEMORABILIA', u'NEO-NAZI GROUPS', u'COMPUTERS AND THE INTERNET']",http://www.nytimes.com/2001/01/07/weekinreview/ideas-trends-hemming-in-the-world-wide-web.html,Week in Review Desk,7/1/2001,News,4fd24ea48eb7c8105d7f0b3d,"Concept of World Wide Web as world without boundaries discussed in light of French judge's order to Yahoo to block French Web surfers from accessing pro-Nazi sites or purchasing Nazi memorabilia on auction site; photos; court invoked French law, even though Yahoo is American company (M)"
No Headline,Obituaries; New York and Region,[],845,"The Rev. Dr. David H. C. Read, who brought his Calvinist theology, a outspoken approach to contemporary issues and a showman's verve to the pulpit of one of New York City's most prominent churches, died on Sunday at his home in Manhattan. He was 91. ...",The New York Times,"[u'BIOGRAPHICAL INFORMATION', u'DEATHS (OBITUARIES)']",http://www.nytimes.com/2001/01/11/nyregion/no-headline-387401.html,Metropolitan Desk,11/1/2001,Obituary; Biography,4fd24eac8eb7c8105d7f0de2,"Rev Dr David H C Read, pastor of Madison Avenue Presbyterian Church for more than 30 years, dies at age of 91; photo (M)"
David H. C. Read Dies at 91; Pastor to a Far-Flung Flock,Obituaries; New York and Region,[],907,"The Rev. Dr. David H. C. Read, who brought his Calvinist theology, a outspoken approach to contemporary issues and a showman's verve to the pulpit of one of New York City's most prominent churches, died on Sunday at his home in Manhattan. He was 91. ...",The New York Times,"[u'BIOGRAPHICAL INFORMATION', u'DEATHS (OBITUARIES)']",http://www.nytimes.com/2001/01/11/nyregion/david-h-c-read-dies-at-91-pastor-to-a-far-flung-flock.html,Metropolitan Desk,11/1/2001,Obituary; Biography,4fd24eac8eb7c8105d7f0de1,"Rev Dr David H C Read, pastor of Madison Avenue Presbyterian Church for more than 30 years, dies at age of 91; photo (M)"
Oil and War in Sudan,Opinion,[u'SUDAN'],381,"Sudan's civil war smolders on at appalling cost, stubbornly resistant to peacemaking. An estimated two million Sudanese have died in 17 years of fighting and famine. Some 4.4 million southern Sudanese have been driven from their homes, the largest...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'EDITORIALS', u'EMBARGOES AND ECONOMIC SANCTIONS', u'OIL (PETROLEUM) AND GASOLINE', u'CIVIL WAR AND GUERRILLA WARFARE']",http://www.nytimes.com/2001/01/13/opinion/oil-and-war-in-sudan.html,Editorial Desk,13/1/2001,Editorial,4fd21e618eb7c8105d7a0875,Editorial scores Sudanese government campaign to depopulate areas around southern oilfields in order to secure them from rebel attack; says US must maintain sanctions on private American investment in Sudan and work toward gaining wider international support for them
Mexican Ruling May Let Spain Try Argentine,World,"[u'SPAIN', u'ARGENTINA', u'MEXICO']",556,"In a decision that could change international law, a federal judge ruled today that Mexico can extradite a former Argentine navy officer to Spain to face charges of human rights abuses against Spaniards under Argentina's military dictatorship two...",The New York Times,"[u'EXTRADITION', u'WAR CRIMES AND CRIMINALS', u'TORTURE']",http://www.nytimes.com/2001/01/13/world/mexican-ruling-may-let-spain-try-argentine.html,Foreign Desk,13/1/2001,News,4fd21d4c8eb7c8105d79e24d,"Jesus Guadalupe Luna, federal judge, rules that Mexico can extradite Ricardo Miguel Cavallo, a former Argentine military officer, to Spain to face charges of human rights abuses against Spaniards under Argentina's military dictatorship two decades ago; Cavallo is accused of helping run torture chamber at mechanics' school of Argentine Navy; photo (M)"
Palestinians Trying to Root Out Informers,World,[u'ISRAEL'],1130,"In a muffled hoarse voice, a Palestinian confessed today on Voice of Palestine Radio to being a paid informer for Israeli security forces who, he said, had used threats of exposure, imprisonment and death to keep him in line.    It was one of a...",The New York Times,"[u'PALESTINIANS', u'INFORMERS']",http://www.nytimes.com/2001/01/19/world/palestinians-trying-to-root-out-informers.html,Foreign Desk,19/1/2001,News,4fd2050d8eb7c8105d76cd1f,"Palestinian Authority is pushing campaign to root out traitors and informers, an effort that has led 'several hundred' Palestinians to turn themselves in; campaign began with executions last weekend of two 'collaborators' after their convictions in lightning trials for assisting Israel in assassinating Palestinian militants; photo (M)"
Experiencing Ecstasy,Health; Magazine,[],8149,"How Bad It Is to Be 20 Years Old  The pill was white and smelled like No-Doz. Although it had come to us in the mail inside a tennis ball, it was legal then, fresh from a lab in Texas. No rumors, no culture surrounding it. We took it on a whim, on...",The New York Times,"[u'ECSTASY (DRUG)', u'DRUG ABUSE AND TRAFFIC']",http://www.nytimes.com/2001/01/21/magazine/experiencing-ecstasy.html,Magazine Desk,21/1/2001,News,4fd21e5b8eb7c8105d7a04c8,"Matthew Klam article describes his experiences with Ecstasy, fastest-growing illegal substance in America; photos (L)"
"Paid Notice: Deaths  GISOLFI, ELEANOR HAYES",Paid Death Notices,[],72,"GISOLFI-Eleanor Hayes. Of Bronxville, on January 27, 2001. Wife of the late Anthony. Mother of Miriam D'Aponte, Diana Gisolfi, Peter Gisolfi and Laura Gilbert. Grandmother of twelve and the late Fiona Pechukas. Great-grandmother of three. Calling...",The New York Times,[],http://www.nytimes.com/2001/01/29/classified/paid-notice-deaths-gisolfi-eleanor-hayes.html,Classified,29/1/2001,Paid Death Notice,4fd21d498eb7c8105d79e114,
Words and Music for a Revolution,New York and Region,[],1132,"AGNES CUNNINGHAM and the late Gordon Friesen were living in a small apartment on the 11th floor of the Frederick Douglass housing project on West 104th Street when they founded Broadside, a ''topical'' song magazine, in 1962.    It was a modest...",The New York Times,"[u'MUSIC', u'FOLK MUSIC']",http://www.nytimes.com/2001/02/11/nyregion/city-lore-words-and-music-for-a-revolution.html,The City Weekly Desk,11/2/2001,News,4fd2449e8eb7c8105d7deefd,"Article on 91-year-old Agnes Cunningham, who, with late husband, Gordon Friesen, founded Broadside, topical song magazine that was published for 26 years from their Manhattan apartment beginning in 1962; tiny journal became one of world's most influential folk music publications and featured songs by then unknown young singers like Phil Ochs, Tom Paxton, Janis Ian and Bob Dylan; photos (M)"
Serbs Offer Peace Plan in Attempt to End Albanian Rebellion,World; Washington,"[u'KOSOVO (SERBIA)', u'SERBIA']",1054,"Hoping to end an ethnic Albanian insurgency that is gaining momentum along the border with Kosovo, Serbia's new government has put together a peace plan that rules out annexation or autonomy but would demilitarize the area and grant Albanians civil...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'POLITICS AND GOVERNMENT', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2001/02/12/world/serbs-offer-peace-plan-in-attempt-to-end-albanian-rebellion.html,Foreign Desk,12/2/2001,News,4fd210628eb7c8105d78497e,"Serbia's new government, seeking to end ethnic Albanian insurgency gaining momentum along border with Kosovo, puts together peace plan that rules out annexation or autonomy but would demilitarize area and grant Albanians civil rights stripped away under Slobodan Milosevic; plan is supported by Western diplomats; maps; photo (M)"
"In the Cage, in Search of Grace",Opinion,[u'PAKISTAN'],1121,"I  was in my home office when the telephone rang. It was my receptionist. ''Sir,'' he blurted, ''the army has just surrounded the house and is about to break in.'' The house, in Islamabad, was my official residence as the information minister of the...",The New York Times,"[u""COUPS D'ETAT AND ATTEMPTED COUPS D'ETAT"", u'POLITICAL PRISONERS', u'POLITICS AND GOVERNMENT', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2001/02/12/opinion/in-the-cage-in-search-of-grace.html,Editorial Desk,12/2/2001,Op-Ed,4fd22d6e8eb7c8105d7bad70,Mushahid Hussain Op-Ed article describes his experiences as political prisoner following military coup in Pakistan in 1999; drawing (M)
NEWS SUMMARY,New York and Region,[],937,"INTERNATIONAL   A3-12    Bush to Press Energy Plan During Visit to Mexico  President Bush will bring an agenda to Mexico on Friday that along with trade, immigration and anti-drug efforts offers a vision of an energy policy reaching from the Yukon to...",The New York Times,[],http://www.nytimes.com/2001/02/13/nyregion/news-summary-890340.html,Metropolitan Desk,13/2/2001,Summary,4fd242bd8eb7c8105d7dbdf2,
China Begins to Shine Light on Use of Torture,World,[u'CHINA'],762,"Soon after his arrest on trumped-up charges, Li Kuisheng was beaten to a bloody mess.    Mr. Li, a prominent lawyer in the central city of Zhengzhou, had crossed the police by trying to defend an official suspected of corruption, and found himself...",The New York Times,"[u'POLICE BRUTALITY AND MISCONDUCT', u'FREEDOM AND HUMAN RIGHTS', u'TORTURE']",http://www.nytimes.com/2001/02/13/world/china-begins-to-shine-light-on-use-of-torture.html,Foreign Desk,13/2/2001,News,4fd2050c8eb7c8105d76cccf,"Instances of police torture in China are increasingly being reported in official press; in rare cases, offending officials are being prosecuted; experts say public reports and prosecutions barely scratch surface of what one Chinese scholar calls legal system's 'chronic illness'; Amnesty International holds torture and ill-treatment of detainees and prisoners is widespread and systematic in China; China is party to United Nations treaty banning torture, but has exempted itself from clause allowing outsiders to investigate alleged torture cases (M)"
World Briefing,World,[],851,"EUROPE    POLICY ON MAD COW DISEASE -- The director of farm policy for the European Union proposed far-reaching changes to deal with the financial and biological consequences of mad cow disease, which has caused a crisis across Western Europe. Franz...",The New York Times,[],http://www.nytimes.com/2001/02/14/world/world-briefing.html,Foreign Desk,14/2/2001,News,4fd24f8b8eb7c8105d7f2663,
Easing Up at the Border,Opinion,[u'MEXICO'],799,"Both President Bush and Vicente Fox, the president of Mexico, are saying that Mexican migration to the United States will be on their agenda when they meet tomorrow at Mr. Fox's ranch. Most Americans understand what a big issue this is for domestic...",The New York Times,"[u'ILLEGAL ALIENS', u'MEXICO-INTERNATIONAL RELATIONS-US', u'UNITED STATES INTERNATIONAL RELATIONS', u'IMMIGRATION AND REFUGEES']",http://www.nytimes.com/2001/02/15/opinion/easing-up-at-the-border.html,Editorial Desk,15/2/2001,Op-Ed,4fd242bc8eb7c8105d7dbd1b,"Op-Ed article by Prof Pamela S Falk notes that both Pres Bush and Pres Vicente Fox say Mexican migration to United States will be on their agenda when they meet Feb 16 at Fox's ranch; says Fox wants US to open border and stop mistreatment of Mexicans who work in American harvests and labor in American cities, and he wants amnesty program for Mexicans living illegally in US; says Bush administration's support for guest worker programs is sound start in regularizing migration between two nations"
Colombia Rightists Said to Harass Social Workers,World; Washington,"[u'COLOMBIA', u'BARRANCABERMEJA (COLOMBIA)']",755,"For 29 years, the Popular Women's Organization in Barrancabermeja has run soup kitchens, offered programs for children and provided social services to the poor -- work that has little to do with this country's civil conflict.    But in...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'CIVIL WAR AND GUERRILLA WARFARE', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2001/02/16/world/colombia-rightists-said-to-harass-social-workers.html,Foreign Desk,16/2/2001,News,4fd2105e8eb7c8105d7845d4,"Paramilitaries in Colombia are intimidating and attacking women involved in social work or human rights advocacy in Barrancabermeja, industrial city north of Bogota; intimidation alarms international human rights groups like Amnesty International, which is trying to marshal international reaction from American and other officials so Colombian security forces will adequately protect women and pursue violators; human rights workers say women are targets because they refuse to cooperate with any local gunmen, either paramilitaries or leftist rebels; map (M)"
U.S. and Mexico to Open Talks On Freer Migration for Workers,World; Front Page; Washington,"[u'GUANAJUATO (MEXICO)', u'MEXICO']",1445,"After they meet on Friday, President Bush and President Vicente Fox of Mexico are expected to announce the start of high-level discussions aimed at addressing the web of immigration issues that have long bedeviled relations between the neighboring...",The New York Times,"[u'ILLEGAL ALIENS', u'MEXICO-INTERNATIONAL RELATIONS-US', u'UNITED STATES INTERNATIONAL RELATIONS', u'LABOR', u'IMMIGRATION AND REFUGEES']",http://www.nytimes.com/2001/02/16/world/us-and-mexico-to-open-talks-on-freer-migration-for-workers.html,Foreign Desk,16/2/2001,News,4fd24eab8eb7c8105d7f0cfb,"Pres Bush and Pres Vicente Fox of Mexico, who will meet on Feb 16, are expected to announce high-level talks aimed at addressing immigration issues that have long bedeviled relations between two neighbors; American officials say 'immigration working group' would discuss proposals including Mexican goals to open border to freer flow of Mexican guest workers and to grant legal residency to hundreds of thousands of undocumented Mexicans now working in US; Bush and Fox will meet at Fox's ranch in his home state of Guanajuato, which ranks fourth among Mexican states in number of people who migrate to US each year; immigration issues have been priority for Mexican government since Fox won presidency; he has pressed US to begin opening border to more Mexican workers; photo (M)"
Bomb Kills 7 Serbs In Kosovo Convoy Guarded by NATO,World; Front Page,"[u'GRACANICA (SERBIA)', u'KOSOVO (SERBIA)', u'SERBIA']",1279,"Seven Serbs were killed and more than 40 were injured today when a roadside bomb blew apart their bus in northeastern Kosovo in one of the boldest and bloodiest attacks NATO troops have seen in 20 months of peacekeeping.    The attack, the second...",The New York Times,[u'CIVIL WAR AND GUERRILLA WARFARE'],http://www.nytimes.com/2001/02/17/world/bomb-kills-7-serbs-in-kosovo-convoy-guarded-by-nato.html,Foreign Desk,17/2/2001,News,4fd242bf8eb7c8105d7dbed5,"Seven Serbs die and more than 40 are injured when roadside bomb blows apart bus in northeastern Kosovo province in one of boldest and bloodiest attacks witnessed by NATO forces in 20 months of peacekeeping; second attack in week on buses carrying Serbs and guarded by peacekeepers is seen as by Serbian leaders as sign that extremists among Kosovo's Albanian majority will resist any move to disband armed Albanian insurgents who have taken control of zone of southern Serbia; Serbs in Gracanica, village south of capital of Pristina, retaliate; block main road and burn at least one car belonging to UN mission; photo; map (M)"
Bomb Kills 7 Serbs In Kosovo Convoy Guarded by NATO,World; Front Page,"[u'GRACANICA (SERBIA)', u'KOSOVO (SERBIA)', u'SERBIA']",1279,"Seven Serbs were killed and more than 40 were injured today when a roadside bomb blew apart their bus in northeastern Kosovo in one of the boldest and bloodiest attacks NATO troops have seen in 20 months of peacekeeping.    The attack, the second...",The New York Times,[u'CIVIL WAR AND GUERRILLA WARFARE'],http://www.nytimes.com/2001/02/17/world/bomb-kills-7-serbs-in-kosovo-convoy-guarded-by-nato.html,Foreign Desk,17/2/2001,News,4fd242bf8eb7c8105d7dbed5,"Seven Serbs die and more than 40 are injured when roadside bomb blows apart bus in northeastern Kosovo province in one of boldest and bloodiest attacks witnessed by NATO forces in 20 months of peacekeeping; second attack in week on buses carrying Serbs and guarded by peacekeepers is seen as by Serbian leaders as sign that extremists among Kosovo's Albanian majority will resist any move to disband armed Albanian insurgents who have taken control of zone of southern Serbia; Serbs in Gracanica, village south of capital of Pristina, retaliate; block main road and burn at least one car belonging to UN mission; photo; map (M)"
February 11-17; Algerian Fingerpointing,Week in Review,[u'ALGERIA'],228,"Less than two years ago, Abdelaziz Bouteflika was elected president of Algeria on a promise to end years of violence between Islamic militants and government forces. But over the last six weeks, there have been daily reports of new deaths -- dozens...",The New York Times,[],http://www.nytimes.com/2001/02/18/weekinreview/february-11-17-algerian-fingerpointing.html,Week in Review Desk,18/2/2001,News,4fd24f8a8eb7c8105d7f25be,Comment on fresh outbreak of violence in Algeria between Islamic militants and government forces; there are daily reports of new deaths; photo (S)
NEWS SUMMARY,New York and Region,[],1170,"INTERNATIONAL   A3-10    Collapse of Health System Adds to North Korean Crisis  The country's grossly undersupplied health system is one victim of the continuing deterioration of North Korea's infrastructure, which has left many residents in a...",The New York Times,[],http://www.nytimes.com/2001/02/20/nyregion/news-summary-997501.html,Metropolitan Desk,20/2/2001,Summary,4fd22d678eb7c8105d7ba86d,
"Paid Notice: Deaths  AUERBACH, FLORENCE DIANE",Paid Death Notices,[],50,"AUERBACH - Florence Diane, peacefully in Medford, Oregon, died February 10, age 83. Beloved wife of the late Jack Auerbach. Cherished mother of Lewis and Stephen. Loving grandmother to Joshua, Melina, Aaron and Peter. Private inurnment. In memoriam...",The New York Times,[],http://www.nytimes.com/2001/02/25/classified/paid-notice-deaths-auerbach-florence-diane.html,Classified,25/2/2001,Paid Death Notice,4fd242c28eb7c8105d7dc18f,
NEWS SUMMARY,New York and Region,[],992,INTERNATIONAL   A3-12    Powell Plan Would Shift Focus of Iraq Sanctions  Secretary of State Colin L. Powell said he had won agreement from Arab nations to modify sanctions on Iraq by letting in more civilian supplies but sharpening controls on...,The New York Times,[],http://www.nytimes.com/2001/02/27/nyregion/news-summary-102520.html,Metropolitan Desk,27/2/2001,Summary,4fd222168eb7c8105d7a7193,
New Opportunities For Immigrant Laborers,New York and Region,[u'BREWSTER (NY)'],2308,"WALTER SALDARRIAGA never expected to get any help from a union.     Like many of the poor Hispanic immigrants in Westchester and Putnam Counties, he spent more than a decade working 12-hour days as a dishwasher with no benefits and no vacations,...",The New York Times,"[u'LABOR', u'FRINGE BENEFITS', u'METALS AND MINERALS', u'IMMIGRATION AND REFUGEES', u'BLACKS', u'HISPANIC-AMERICANS', u'ORGANIZED LABOR']",http://www.nytimes.com/2001/03/04/nyregion/new-opportunities-for-immigrant-laborers.html,Westchester Weekly Desk,4/3/2001,News,4fd2471d8eb7c8105d7e296c,"Article on outreach program initiated by Sheet Metal Workers Local 38, to train unskilled and underpaid immigrant day laborers as highly-paid apprentice metal workers with full package of benefits; class in Brewster, NY, is first of its kind in region and represents significant new direction for union and immigrant laborers; photos (L)"
Death in Colombia,Opinion,[u'COLOMBIA'],137,"To the Editor:    President Andrés Pastrana of Colombia says he is cracking down on paramilitary groups (news article, Feb. 27), but during his presidency the human rights situation has deteriorated and paramilitary groups are now responsible for 80...",The New York Times,[u'FREEDOM AND HUMAN RIGHTS'],http://www.nytimes.com/2001/03/04/opinion/l-death-in-colombia-224006.html,Editorial Desk,4/3/2001,Letter,4fd222138eb7c8105d7a7097,Letter by Amnesty International official William F Schulz says Colombian government must hold military and paramilitary architects of human rights violations accountable for crimes (S)
Brazilian Prison Revolt Exposes a Crumbling System,World,[u'BRAZIL'],990,It is not simply that the prison rebellion two weeks ago was the largest in Brazilian history. What most alarms both the authorities and the general public is this: members of a criminal gang now claiming to be a union for prisoners were able to...,The New York Times,"[u'PRISONS AND PRISONERS', u'CELLULAR TELEPHONES', u'DEMONSTRATIONS AND RIOTS', u'TELEPHONES AND TELECOMMUNICATIONS']",http://www.nytimes.com/2001/03/05/world/brazilian-prison-revolt-exposes-a-crumbling-system.html,Foreign Desk,5/3/2001,News,4fd247208eb7c8105d7e2add,"Brazil's recent prison rebellion, largest in nation's history, alarms authorities and general public, mainly because of strength and discipline of First City Command, criminal gang claiming to be union for prisoners, in organizing simultaneous uprisings in 29 prisons mostly by mobile phones in cells; sets off nationwide debate, with many Brazilians calling for harsher treatment of prisoners, others for more humane treatment, but nearly all agreeing that penal system is in state of monumental disrepair and is crumbling; photo (M)"
"Sentence of Life Without Parole For Boy, 14, in Murder of Girl, 6",Front Page; U.S.,[u'FORT LAUDERDALE (FLA)'],1033,A Florida boy convicted of murdering a 6-year-old girl when he was 12 was sentenced today to life in prison without the possibility of parole. It may be the first time a life sentence has been given for a crime committed at so young an age.    A jury...,The New York Times,"[u'MURDERS AND ATTEMPTED MURDERS', u'SENTENCES (CRIMINAL)', u'CHILDREN AND YOUTH']",http://www.nytimes.com/2001/03/10/us/sentence-of-life-without-parole-for-boy-14-in-murder-of-girl-6.html,National Desk,10/3/2001,News,4fd244a48eb7c8105d7df3d1,"Fourteen-year-old Lionel Tate is sentenced to life in prison without possibility of parole for murder of Tiffany Eunick; Tate was convicted in January for bludgeoning six-year-old girl to death in what he said was imitation of wrestling moves; Judge Joel T Lazarus of Broward County (Fla) Circuit Court, rejecting suggestions for leniency, denies requests for reducing charge for which boy was convicted, move that would have allowed him to avoid imposing mandatory life sentence for first-degree murder; Kathleen Grossett-Tate had earlier rejected several offers by prosecutors to have her son plead guilty to second-degree murder and accept sentence of three years at juvenile detention center and 10 years of probation; photos (M)"
The Way We Live Now: 3-11-01: The Old Economy; Pain and Gain,Magazine,[],377,"A new study from Amnesty International, titled ''Stopping the Torture Trade,'' reports that over the last 10 years the United States has been the world's biggest exporter of high-tech restraint devices. The market is now dominated by electronic...",The New York Times,"[u'POLICE BRUTALITY AND MISCONDUCT', u'INTERNATIONAL TRADE AND WORLD MARKET', u'POLICE', u'TORTURE']",http://www.nytimes.com/2001/03/11/magazine/the-way-we-live-now-3-11-01-the-old-economy-pain-and-gain.html,Magazine Desk,11/3/2001,News,4fd258768eb7c8105d803f75,"Amnesty International report finds United States is leading exporter of high-tech restraint devices, mostly nonlethal devices used by law-enforcement officials across nation; notes such equipment has been used for torture and calls for closer regulation of trade; sampling of devices and makers; photo (M)"
"Execution in China, Through a Brother's Eyes",World,[u'CHINA'],2120,"When Qiu Xuanming's body arrived at the crematory from the execution ground last June, his brother recognized it by the clothes. Mr. Qiu's head, which had been shot in the back at close range, was a tightly wrapped ball of white gauze, but the...",The New York Times,"[u'TAX EVASION', u'TAXATION', u'TRANSPLANTS', u'CAPITAL PUNISHMENT']",http://www.nytimes.com/2001/03/11/world/execution-in-china-through-a-brother-s-eyes.html,Foreign Desk,11/3/2001,News,4fd222128eb7c8105d7a6ff3,"Hundreds, perhaps thousands, of condemned people in China have their organs 'harvested' minutes after their death by gunshot to back of head; China executes more people each year than rest of world combined, although exact number is tightly guarded state secret; Amnesty International counted 18,194 executions reported in state-run press in 1990's, with 1,263 in 1999; some scholars and human rights advocates contend real total is much higher because many executions are never reported; many of the executed become organ donors; practice is permitted under 1994 rules, but only with written consent of prisoner or his or her relatives; whether most condemned prisoners donate their organs willingly is matter of debate; Buddhist and Confucian beliefs dictate that body be kept whole after death, meaning that voluntary donations are rare; China is again in throes of campaign against tax evasion that has already led to death sentences for many people; one man discusses inequities in case of his brother, who was executed for tax evasion and had his organs removed (L)"
Colonel's Trial Puts Russian Justice to Test,World,"[u'RUSSIA', u'CHECHNYA (RUSSIA)', u'GROZNY (CHECHNYA)']",1811,"It was late last March 26 that a Russian Army colonel, Yuri D. Budanov, and three soldiers left an encampment outside Chechnya's capital, Grozny, and pointed their armored personnel carrier south into the village of Tangi, then east on to a lane.   ...",The New York Times,"[u'ARMAMENT, DEFENSE AND MILITARY FORCES', u'WAR CRIMES AND CRIMINALS', u'PUBLIC OPINION', u'SEX CRIMES', u'CIVIL WAR AND GUERRILLA WARFARE', u'KIDNAPPING', u'FREEDOM AND HUMAN RIGHTS', u'TORTURE']",http://www.nytimes.com/2001/03/18/world/colonel-s-trial-puts-russian-justice-to-test.html,Foreign Desk,18/3/2001,News,4fd2105b8eb7c8105d78431d,"Colonel's trial in killing of young Chechen woman puts Russian justice to test; Col Yuri D Budanov, highest-ranking officer to be accused of crime against Chechen civilian, admits that he abducted, beat and killed 18-year-old Elza Kungayeva in Grozny, Chechnya's capital, year ago; claims he believed she was rebel sniper who had killed soldiers in his regiment, and that he killed her in uncontrollable fit of revenge; woman's father disputes this, saying Budanov had 'noticed' his daughter in days before abduction; initial accusation of rape, documented by autopsy, has vanished; Human Rights Watch has documented thousands of cases in which Russian military killed, tortured and raped Chechen civilians with no punishment; despite fact that Kremlin itself expressed outrage at Kungayeva's killing, half of Russians polled feel Budanov should be set free; photos; map (M)"
Mexico's New Leader Vows to End Longstanding Impunity for Torture in Justice System,World,[u'MEXICO'],656,"Torture, a tool used in Mexico for centuries, must now end, says the new president, Vicente Fox. But his advisers say it will require radical changes in the justice system, from lowly patrolmen to the high courts.     For the first time, Mr. Fox has...",The New York Times,"[u'CRIME AND CRIMINALS', u'FREEDOM AND HUMAN RIGHTS', u'TORTURE']",http://www.nytimes.com/2001/03/18/world/mexico-s-new-leader-vows-end-longstanding-impunity-for-torture-justice-system.html,Foreign Desk,18/3/2001,News,4fd2105b8eb7c8105d784326,"Mexico's new president, Vicente Fox, says that torture, tool used in his country for centuries, must end; Fox for first time acknowledges that police officers and soldiers use torture to extract confessions from subjects, that judges accept confessions wrung through torture, and that such admissions are often only evidence brought against suspects by police officers who lack investigative skills but possess power to beat people into signing statements; Fox appoints special ambassador on human rights, Mariclaire Acosta, whose portfolio includes stamping out practice; Acosta says ending practice of torture will require enormous political will (M)"
Delayed Justice in Argentina,Opinion,[u'ARGENTINA'],477,"Today marks the 25th anniversary of Argentina's last successful military coup, which brought to power a junta whose murderous repression of Argentina's peaceful left became known as the ''dirty war.'' It is a sign of Argentina's growing confidence as...",The New York Times,"[u'EDITORIALS', u'AMNESTIES AND PARDONS', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2001/03/24/opinion/delayed-justice-in-argentina.html,Editorial Desk,24/3/2001,Editorial,4fd2449b8eb7c8105d7decff,Editorial welcomes ruling by Judge Gabriel Cavallo of Argentina voiding amnesties extended to soldiers and mid-level military officers for murders and disappearances carried out during country's 'dirty war' (M)
Contortions of Psychiatry in China,Health; Opinion,[u'CHINA'],456,"The abuse of psychiatry to intimidate and torture dissidents in the Soviet Union was well documented and loudly deplored by the West. The practice in China has received less comment, but Beijing, too, imprisons nonconformists as mentally ill -- a...",The New York Times,"[u'POLITICAL PRISONERS', u'EDITORIALS', u'MENTAL HEALTH AND DISORDERS', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2001/03/25/opinion/contortions-of-psychiatry-in-china.html,Editorial Desk,25/3/2001,Editorial,4fd211ce8eb7c8105d787720,"Editorial charges that China, like old Soviet Union, abuses psychiatry to intimidate and imprison dissidents and nonconformists; calls for worldwide condemnation of practices such as imprisonment of Falun Gong members and 'political maniacs' in psychiatric hospitals"
"Essay; Fox, Bush & Helms",Opinion,[u'MEXICO'],719,A remarkable confluence of personalities and economic forces bids fair to break the logjam along the Rio Grande.    It began when Mexican voters stunned this continent by ending the one-party rule that had corrupted their country for seven decades...,The New York Times,"[u'MEXICO-INTERNATIONAL RELATIONS-US', u'UNITED STATES INTERNATIONAL RELATIONS']",http://www.nytimes.com/2001/04/02/opinion/essay-fox-bush-helms.html,Editorial Desk,2/4/2001,Op-Ed,4fd2238c8eb7c8105d7a91de,William Safire Op-Ed column on US-Mexican relations says 'remarkable confluence' of personalities--of George W Bush and Vicente Fox--bodes well for future of relations between both countries (M)
Mexican 'Guest Workers': A Project Worth a Try?,World; Washington,"[u'NOCATEE (FLA)', u'MEXICO']",1532,"Perched like birds in the trees of a Florida orange grove, a crew of Mexican farmhands recently recounted the different routes they had taken to sneak into the United States.    About 10 years ago it was as simple as crossing a street, said Juan...",The New York Times,"[u'AGRICULTURE', u'MEXICO-INTERNATIONAL RELATIONS-US', u'UNITED STATES INTERNATIONAL RELATIONS', u'LABOR', u'MIGRANT LABOR', u'IMMIGRATION AND REFUGEES']",http://www.nytimes.com/2001/04/03/world/mexican-guest-workers-a-project-worth-a-try.html,Foreign Desk,3/4/2001,News,4fd24f8c8eb7c8105d7f27ba,"24 Mexican migrant farm workers in Nocatee, Fla, are among 40,000 'guest workers' employed in seasonal jobs on farms from North Carolina to Georgia, Arkansas to Idaho, and are living models for Pres Vicente Fox's vision for countrymen; since winning Mexican presidency in July 2000, he has been pressing US to open border to Mexican workers; photos; map (M)"
"Admissions by Milosevic Should Speed His Trial, Bosnia Says",World,"[u'CROATIA', u'SERBIA', u'BOSNIA AND HERZEGOVINA']",1006,"Bosnia's Foreign Ministry seized today on an admission by Slobodan Milosevic that he had channeled state funds to Serbian forces fighting wars in Croatia and Bosnia in the 1990's, saying discussions of Yugoslavia's role in the atrocities of those...",The New York Times,"[u'WAR CRIMES AND CRIMINALS', u'CIVIL WAR AND GUERRILLA WARFARE', u'ETHICS']",http://www.nytimes.com/2001/04/04/world/admissions-by-milosevic-should-speed-his-trial-bosnia-says.html,Foreign Desk,4/4/2001,News,4fd2449b8eb7c8105d7dece0,"Bosnia holds former Pres Slobodan Milosevic's admission, in his bid for release from Serbian custody, that he channeled state funds to Serbian forces fighting wars in Croatia and Bosnia in the 1990's should resolve any doubts about Yugoslavia's role in atrocities of those wars; Belgrade court rejects bid, ordering him held pending probe of alleged corruption and abuse of power; Yugoslav Pres Vojislav Kostunica insists Milosevic be tried in Serbia on all charges, including war crimes, news conference; questions justice of war crimes tribunal in The Hague; photo (M)"
